"Protein","Outcome","HR","conf_low","conf_high","p_value","p_fdr","n_event","n_total","group","Trend","p_fdr_trend"
"ACAN","AD",1.406444858,0.750991679,2.633966787,0.286683497,0.573366993,121,6927,"Pre-DM","Fluctuating Decreasing",0.286683497
"ACAN","UD",1.690863634,0.923124509,3.09711182,0.088957528,0.665255015,140,6924,"Pre-DM","Fluctuating Decreasing",0.304644286333333
"ACAN","Dementia",1.159556197,0.724540452,1.85575639,0.537234011,0.721659768,225,6921,"Pre-DM","Fluctuating Decreasing",0.626773012833333
"ACAN","ADD",1.293627133,0.631914531,2.64825554,0.481249267,0.723323431,91,6929,"Pre-DM","Fluctuating Decreasing",0.509614236
"ACAN","DoD",0.547653072,0.164335528,1.825070282,0.326896211,0.730417236,34,6928,"Pre-DM","Fluctuating Decreasing",0.762757825666667
"ACAN","VaD",0.996550563,0.400520069,2.479558709,0.994071993,0.994071993,59,6928,"Pre-DM","Fluctuating Decreasing",0.994071993
"ACAN","VaD",2.79473049262429,1.19732273834727,6.52331929917681,0.0174838968483929,0.128215243554881,54,3095,"T2D","Fluctuating Decreasing",0.0611936389693752
"ACAN","ADD",1.59044924827278,0.802566456331514,3.15179981841477,0.183618163503418,0.646456555543969,75,3094,"T2D","Fluctuating Decreasing",0.49191125590141
"ACAN","Dementia",1.21588434758201,0.778254492051278,1.89960322978454,0.39052044455902,0.660880752330649,197,3089,"T2D","Fluctuating Decreasing",0.39052044455902
"ACAN","AD",1.51918465018077,0.80525167799092,2.8660877889793,0.196642464021285,0.743176028588441,102,3094,"T2D","Fluctuating Decreasing",0.646769641516637
"ACAN","UD",0.762049397892738,0.438947500861129,1.32298118496956,0.334287192745719,0.774287436220341,128,3090,"T2D","Fluctuating Decreasing",0.468002069844007
"ACAN","DoD",1.03777311747724,0.307028471800301,3.50773020183911,0.952419556867312,0.99592282455763,24,3095,"T2D","Fluctuating Decreasing",0.962819215834502
"ADGRG2","Dementia",1.493491115,0.923714156,2.414725051,0.10178454,0.410296332,225,6921,"Pre-DM","Fluctuating Decreasing",0.23749726
"ADGRG2","AD",1.438088527,0.762744193,2.711392145,0.261480062,0.547862986,121,6927,"Pre-DM","Fluctuating Decreasing",0.286683497
"ADGRG2","UD",1.603078431,0.869477245,2.955638541,0.130561837,0.665255015,140,6924,"Pre-DM","Fluctuating Decreasing",0.304644286333333
"ADGRG2","ADD",1.282486443,0.612211422,2.686606974,0.509614236,0.723323431,91,6929,"Pre-DM","Fluctuating Decreasing",0.509614236
"ADGRG2","VaD",1.215065705,0.463783521,3.183348695,0.691801973,0.92240263,59,6928,"Pre-DM","Fluctuating Decreasing",0.807102301833333
"ADGRG2","DoD",0.960190197,0.270711441,3.405712039,0.949855529,0.977863229,34,6928,"Pre-DM","Fluctuating Decreasing",0.976191788
"ADGRG2","Dementia",0.572980784883804,0.359738651040045,0.912626371664226,0.0190300855446016,0.139553960660412,197,3089,"T2D","Fluctuating Decreasing",0.0444035329374037
"ADGRG2","UD",0.531127570928819,0.29657149405351,0.951192215897358,0.0333146173731265,0.298851600748472,128,3090,"T2D","Fluctuating Decreasing",0.110408891080826
"ADGRG2","VaD",0.513982249092681,0.211382985894005,1.24975882644991,0.142060419251043,0.331971462754235,54,3095,"T2D","Fluctuating Decreasing",0.165737155792884
"ADGRG2","DoD",0.347052467381284,0.104664057711136,1.15078105845903,0.0835701700929541,0.408565276009998,24,3095,"T2D","Fluctuating Decreasing",0.194997063550226
"ADGRG2","ADD",1.06560186181356,0.529936305735431,2.14272416441576,0.858502790316534,0.972281554884604,75,3094,"T2D","Fluctuating Decreasing",0.984893198449552
"ADGRG2","AD",0.954858896336581,0.4952122704967,1.84114079200546,0.890328967901719,0.987333068134725,102,3094,"T2D","Fluctuating Decreasing",0.890328967901719
"APOM","ADD",0.554276273,0.290724235,1.056747769,0.073082616,0.073082616,91,6926,"Pre-DM","Gradually decreasing",0.554275808
"APOM","DoD",0.733388751,0.484903489,1.109208476,0.141845356,0.141845356,34,6925,"Pre-DM","Gradually decreasing",0.567381424
"APOM","Dementia",0.35949605,0.135935009,0.950729399,0.039227707,0.078455414,222,6918,"Pre-DM","Gradually decreasing",0.311874608
"APOM","AD",0.701133084,0.399059552,1.231865267,0.216916354,0.216916354,121,6924,"Pre-DM","Gradually decreasing",0.3470661664
"APOM","UD",0.734241192,0.432177063,1.24742883,0.253293231,0.253293231,137,6921,"Pre-DM","Gradually decreasing",0.443942836571429
"APOM","VaD",1.252858807,0.569632012,2.755560004,0.575096289,0.575096289,59,6925,"Pre-DM","Gradually decreasing",0.766795052
"APOM","Dementia",0.373237728,0.176611534,0.788772955,0.009837903,0.019675805,197,3089,"T2D","Gradually decreasing",0.0686266765031976
"APOM","UD",0.698114539148218,0.411506029935809,1.18434208569472,0.182664375747565,0.549819648160711,128,3090,"T2D","Gradually decreasing",0.487105001993507
"APOM","VaD",0.74922424020087,0.326676313161876,1.71832771305465,0.495415617908169,0.681196474623733,54,3095,"T2D","Gradually decreasing",0.660554157210892
"APOM","AD",0.692240254472762,0.38479217210467,1.24533866500321,0.219574735719312,0.743176028588441,102,3094,"T2D","Gradually decreasing",0.533906006206456
"APOM","DoD",0.690121809281487,0.233063758547922,2.04350995887687,0.503090997373861,0.851384764786535,24,3095,"T2D","Gradually decreasing",0.888007873108749
"APOM","ADD",0.857449193132837,0.431383934596958,1.70432660987032,0.66081714035988,0.908623567994835,75,3094,"T2D","Gradually decreasing",0.75521958898272
"BCAN","AD",0.677134099,0.406178884,1.128839056,0.134861193,0.468486131,121,6927,"Pre-DM","Fluctuating Decreasing",0.1958697216
"BCAN","Dementia",0.804403292,0.553024766,1.170046435,0.254910194,0.623113808,225,6921,"Pre-DM","Fluctuating Decreasing",0.4460928395
"BCAN","VaD",0.643525562,0.309741197,1.337003772,0.2374055,0.668779721,59,6928,"Pre-DM","Fluctuating Decreasing",0.553946166666667
"BCAN","ADD",0.745289969,0.418235499,1.328096585,0.318597797,0.723323431,91,6929,"Pre-DM","Fluctuating Decreasing",0.4460369158
"BCAN","UD",0.839014468,0.523089539,1.345745279,0.466529086,0.786025826,140,6924,"Pre-DM","Fluctuating Decreasing",0.6531407204
"BCAN","DoD",1.195816783,0.467921873,3.056018235,0.708736342,0.917188208,34,6928,"Pre-DM","Fluctuating Decreasing",0.976191788
"BCAN","Dementia",0.754184452277054,0.533784058457678,1.0655885634725,0.109657149188091,0.314730616656619,197,3089,"T2D","Fluctuating Decreasing",0.191900011079159
"BCAN","UD",0.651280466494699,0.42632472500906,0.994937007297755,0.047318096177497,0.346999371968312,128,3090,"T2D","Fluctuating Decreasing",0.110408891080826
"BCAN","DoD",0.692343953437716,0.276874201872751,1.73125609616047,0.431713930768491,0.759816518152545,24,3095,"T2D","Fluctuating Decreasing",0.755499378844859
"BCAN","VaD",1.15658355415825,0.585029172447073,2.2865278874112,0.67570782729505,0.76233703592262,54,3095,"T2D","Fluctuating Decreasing",0.67570782729505
"BCAN","ADD",0.838394429671334,0.480531388344306,1.4627665054843,0.534800582160271,0.906658961185409,75,3094,"T2D","Fluctuating Decreasing",0.778902471200192
"BCAN","AD",0.892667468801638,0.544470243621949,1.46354225816979,0.652628520995235,0.957188497459678,102,3094,"T2D","Fluctuating Decreasing",0.761399941161108
"C1QTNF1","VaD",2.170467915,1.261750896,3.733645829,0.005109643,0.074941434,59,6928,"Pre-DM","Gradually Increasing",0.040877144
"C1QTNF1","Dementia",1.416140665,1.0481566,1.913315607,0.023431848,0.343667104,225,6921,"Pre-DM","Gradually Increasing",0.187454784
"C1QTNF1","AD",1.365225894,0.912049596,2.043574987,0.130367443,0.468486131,121,6927,"Pre-DM","Gradually Increasing",0.264817386
"C1QTNF1","UD",1.358894577,0.920890794,2.005226334,0.122390847,0.665255015,140,6924,"Pre-DM","Gradually Increasing",0.326375592
"C1QTNF1","DoD",1.335176786,0.615583188,2.895948243,0.464322886,0.730417236,34,6928,"Pre-DM","Gradually Increasing",0.722952898666667
"C1QTNF1","ADD",0.990932424,0.612634144,1.60282785,0.970384381,0.970384381,91,6929,"Pre-DM","Gradually Increasing",0.970384381
"C1QTNF1","ADD",0.628141750293553,0.377215793955811,1.04598498998181,0.0739106594032919,0.570122567285744,75,3094,"T2D","Gradually Increasing",0.591285275226335
"C1QTNF1","AD",0.775570774688274,0.507852384340475,1.18441902627222,0.239398268502988,0.752394558152246,102,3094,"T2D","Gradually Increasing",0.957593074011952
"C1QTNF1","VaD",1.02110454484479,0.594259092367364,1.75454528991563,0.93972329641381,0.93972329641381,54,3095,"T2D","Gradually Increasing",0.93972329641381
"C1QTNF1","Dementia",0.978614165800612,0.731266429224497,1.30962621451288,0.884377523373273,0.956852244597268,197,3089,"T2D","Gradually Increasing",0.961185625532971
"C1QTNF1","UD",0.990413445055009,0.691044656979555,1.41947236294854,0.958165167094851,0.985345375381866,128,3090,"T2D","Gradually Increasing",0.958165167094851
"C1QTNF1","DoD",0.914740852961422,0.427502574472806,1.95730009137013,0.818393494635597,0.99592282455763,24,3095,"T2D","Gradually Increasing",0.99592282455763
"CA14","AD",1.412079304,0.893061625,2.232732777,0.139906944,0.468486131,121,6927,"Pre-DM","Fluctuating Decreasing",0.1958697216
"CA14","ADD",1.396067498,0.811974232,2.40032797,0.227551932,0.723323431,91,6929,"Pre-DM","Fluctuating Decreasing",0.398215881
"CA14","DoD",1.303486468,0.496776176,3.420206229,0.59022803,0.811563541,34,6928,"Pre-DM","Fluctuating Decreasing",0.976191788
"CA14","Dementia",1.079974687,0.761188145,1.532269431,0.666414701,0.814506856,225,6921,"Pre-DM","Fluctuating Decreasing",0.666414701
"CA14","VaD",1.261737282,0.645884319,2.464808205,0.496195718,0.821257854,59,6928,"Pre-DM","Fluctuating Decreasing",0.6946740052
"CA14","UD",0.924905455,0.592312144,1.444255549,0.731359538,0.906433367,140,6924,"Pre-DM","Fluctuating Decreasing",0.843935269
"CA14","VaD",1.89897829755033,1.00547430772903,3.58648505172844,0.0480651500068439,0.234985177811237,54,3095,"T2D","Fluctuating Decreasing",0.112152016682636
"CA14","DoD",0.435095362550786,0.176402224172373,1.07316092754146,0.0708131269825778,0.389472198404178,24,3095,"T2D","Fluctuating Decreasing",0.194997063550226
"CA14","Dementia",1.21120768693355,0.869317359400149,1.68755868616174,0.257482942212471,0.539488069397559,197,3089,"T2D","Fluctuating Decreasing",0.30039676591455
"CA14","ADD",1.15969397587134,0.707886328264305,1.89986734306603,0.556358908000137,0.906658961185409,75,3094,"T2D","Fluctuating Decreasing",0.778902471200192
"CA14","AD",1.11283461064815,0.69901257391656,1.77164319622704,0.652257706832338,0.957188497459678,102,3094,"T2D","Fluctuating Decreasing",0.761399941161108
"CA14","UD",0.939437826439965,0.620704791144285,1.42184085307164,0.767642939880976,0.985345375381866,128,3090,"T2D","Fluctuating Decreasing",0.789679798896063
"CD276","Dementia",1.120680555,0.782791769,1.604417618,0.533718751,0.721659768,225,6921,"Pre-DM","Gradually Increasing",0.609964286857143
"CD276","DoD",1.553350376,0.570031189,4.232921704,0.389203986,0.730417236,34,6928,"Pre-DM","Gradually Increasing",0.722952898666667
"CD276","UD",1.108992626,0.70148045,1.753241512,0.657983728,0.851508354,140,6924,"Pre-DM","Gradually Increasing",0.657983728
"CD276","VaD",0.824937527,0.405540466,1.678061696,0.59528781,0.903195298,59,6928,"Pre-DM","Gradually Increasing",0.787673494857143
"CD276","AD",1.047189087,0.655703493,1.672409855,0.846927416,0.916902645,121,6927,"Pre-DM","Gradually Increasing",0.846927416
"CD276","ADD",1.029816909,0.601147343,1.764164607,0.914806578,0.93608115,91,6929,"Pre-DM","Gradually Increasing",0.970384381
"CD276","Dementia",1.60108522345804,1.18483215404439,2.16357556133614,0.00218378712785876,0.0320288778752618,197,3089,"T2D","Gradually Increasing",0.00873514851143504
"CD276","UD",1.63410129530063,1.12191997483472,2.38010473402667,0.0104806226133861,0.230573697494493,128,3090,"T2D","Gradually Increasing",0.0838449809070888
"CD276","VaD",1.6472224902228,0.906503327796316,2.99319577666841,0.101455875136404,0.331971462754235,54,3095,"T2D","Gradually Increasing",0.270549000363744
"CD276","DoD",1.84432226145167,0.830871644129745,4.09392308441211,0.132439373949173,0.525979296064763,24,3095,"T2D","Gradually Increasing",0.49340671492707
"CD276","AD",1.32878199123088,0.871990209263079,2.02486399670895,0.185958218128914,0.743176028588441,102,3094,"T2D","Gradually Increasing",0.957593074011952
"CD276","ADD",1.22687667991766,0.764367515787311,1.96924431852049,0.397024419681951,0.873453723300293,75,3094,"T2D","Gradually Increasing",0.98306384562419
"CTRC","AD",1.245376223,0.967065006,1.603782504,0.089046447,0.468486131,121,6927,"Pre-DM","Gradually decreasing",0.3470661664
"CTRC","Dementia",1.10894347,0.916526926,1.341756128,0.287549147,0.662312484,225,6921,"Pre-DM","Gradually decreasing",0.383398862666667
"CTRC","ADD",1.245130879,0.92712479,1.672213841,0.145094687,0.723323431,91,6929,"Pre-DM","Gradually decreasing",0.554275808
"CTRC","DoD",0.801089597,0.476607075,1.346485558,0.402540623,0.730417236,34,6928,"Pre-DM","Gradually decreasing",0.6440649968
"CTRC","VaD",0.978763768,0.673845548,1.42165889,0.910266609,0.994071993,59,6928,"Pre-DM","Gradually decreasing",0.973160132
"CTRC","UD",1.000059762,0.7849227,1.274163084,0.999614191,0.999614191,140,6924,"Pre-DM","Gradually decreasing",0.999614191
"CTRC","VaD",1.20009268977942,0.859618966880998,1.67541959815944,0.283980783798305,0.480582864889439,54,3095,"T2D","Gradually decreasing",0.454369254077288
"CTRC","ADD",1.25957362258832,0.941967544523538,1.68426791341602,0.119544932558017,0.646456555543969,75,3094,"T2D","Gradually decreasing",0.478179730232068
"CTRC","AD",1.23846776560766,0.950633273081666,1.61345331567989,0.113007792396031,0.696672686734121,102,3094,"T2D","Gradually decreasing",0.533906006206456
"CTRC","Dementia",1.00742696837435,0.843059823718984,1.20383995068211,0.935105602674603,0.956852244597268,197,3089,"T2D","Gradually decreasing",0.935105602674603
"CTRC","UD",0.994466765010652,0.795354843644586,1.24342506318184,0.961177694637881,0.985345375381866,128,3090,"T2D","Gradually decreasing",0.961177694637881
"CTRC","DoD",1.07882729349736,0.664532086785674,1.7514102815177,0.758913023047989,0.99592282455763,24,3095,"T2D","Gradually decreasing",0.888007873108749
"CTSO","Dementia",1.129884465,0.753947573,1.693272781,0.554099834,0.721659768,225,6921,"Pre-DM","Fluctuating Increasing",0.6926247925
"CTSO","ADD",1.250728083,0.668482439,2.340107452,0.48396229,0.723323431,91,6929,"Pre-DM","Fluctuating Increasing",0.73181819375
"CTSO","DoD",1.532248455,0.495597404,4.737283343,0.458693173,0.730417236,34,6928,"Pre-DM","Fluctuating Increasing",0.458693173
"CTSO","VaD",0.649216713,0.278880416,1.511337176,0.316338551,0.732573486,59,6928,"Pre-DM","Fluctuating Increasing",0.62994210375
"CTSO","AD",1.101636875,0.634844267,1.911655922,0.730688695,0.868927097,121,6927,"Pre-DM","Fluctuating Increasing",0.788174558
"CTSO","UD",1.03286774,0.61518757,1.734130892,0.90264353,0.968690617,140,6924,"Pre-DM","Fluctuating Increasing",0.90264353
"CTSO","Dementia",0.780771598425458,0.510846039047503,1.19332292376091,0.252881682755952,0.539488069397559,197,3089,"T2D","Fluctuating Increasing",0.63220420688988
"CTSO","UD",0.698935797394667,0.410334572686139,1.19051935029949,0.187438516418424,0.549819648160711,128,3090,"T2D","Fluctuating Increasing",0.93719258209212
"CTSO","ADD",0.534074128781056,0.266029569286939,1.07219350013528,0.077743986448056,0.570122567285744,75,3094,"T2D","Fluctuating Increasing",0.19435996612014
"CTSO","AD",0.590291140880418,0.323390241802462,1.07747107352345,0.0859916150530771,0.630605177055899,102,3094,"T2D","Fluctuating Increasing",0.214979037632693
"CTSO","VaD",1.1593884358008,0.519484112626262,2.58753157680433,0.718053585327034,0.789858943859737,54,3095,"T2D","Fluctuating Increasing",0.718053585327034
"CTSO","DoD",0.848505694251435,0.295984958158944,2.43242736946953,0.759813982481165,0.99592282455763,24,3095,"T2D","Fluctuating Increasing",0.949767478101456
"EGFR","Dementia",0.650450275265171,0.426534687268749,0.991913608015569,0.045751776597309,0.287582595754514,222,6918,"Pre-DM","Fluctuating Decreasing",0.160131218090582
"EGFR","VaD",0.154431305,0.036540408,0.652675466,0.011079872,0.022159744,59,6925,"Pre-DM","Fluctuating Decreasing",0.038779552
"EGFR","ADD",0.269964088,0.082747255,0.880761645,0.029975725,0.059951451,91,6926,"Pre-DM","Fluctuating Decreasing",0.107140028333333
"EGFR","AD",0.32505076,0.116420313,0.907556372,0.031943077,0.063886154,121,6924,"Pre-DM","Fluctuating Decreasing",0.1118007695
"EGFR","UD",0.560723121,0.216575391,1.451736585,0.233278474,0.253293231,137,6921,"Pre-DM","Fluctuating Decreasing",0.4082373295
"EGFR","DoD",0.380953273,0.058622686,2.475584202,0.312175742,0.312175742,34,6925,"Pre-DM","Fluctuating Decreasing",0.762757825666667
"EGFR","Dementia",0.376921409927154,0.172310056642598,0.824500624221556,0.0145586991534523,0.139553960660412,197,3089,"T2D","Fluctuating Decreasing",0.0444035329374037
"EGFR","VaD",0.272157027311752,0.0605685358122151,1.22290305555367,0.0896046197194332,0.328550272304588,54,3095,"T2D","Fluctuating Decreasing",0.156808084509008
"EGFR","UD",0.408751033759656,0.154961035636188,1.07818979728456,0.0706318855575234,0.388475370566379,128,3090,"T2D","Fluctuating Decreasing",0.123605799725666
"EGFR","AD",0.540965160504476,0.17860673470176,1.63847855663614,0.277186989221416,0.762264220358893,102,3094,"T2D","Fluctuating Decreasing",0.646769641516637
"EGFR","DoD",0.590829248163116,0.0804753886061965,4.33771375983283,0.604907654033502,0.950569170624074,24,3095,"T2D","Fluctuating Decreasing",0.846870715646903
"EGFR","ADD",0.98839849067051,0.29535348809445,3.30766899914632,0.984893198449552,0.992566855121409,75,3094,"T2D","Fluctuating Decreasing",0.984893198449552
"FABP1","VaD",1.29932845,1.000660725,1.687139686,0.049423443,0.310661644,59,6928,"Pre-DM","Fluctuating Increasing",0.247117215
"FABP1","Dementia",1.114961631,0.974974023,1.275048781,0.111899,0.410296332,225,6921,"Pre-DM","Fluctuating Increasing",0.559495
"FABP1","AD",1.126745002,0.939726096,1.35098334,0.197522501,0.493181093,121,6927,"Pre-DM","Fluctuating Increasing",0.788174558
"FABP1","ADD",1.134812965,0.921107279,1.398100411,0.234832942,0.723323431,91,6929,"Pre-DM","Fluctuating Increasing",0.73181819375
"FABP1","DoD",1.222622908,0.863879455,1.730341849,0.256687911,0.730417236,34,6928,"Pre-DM","Fluctuating Increasing",0.427813185
"FABP1","UD",1.063662928,0.895530924,1.263360979,0.482019517,0.786025826,140,6924,"Pre-DM","Fluctuating Increasing",0.784153615
"FABP1","VaD",1.24685625387472,0.976574129010166,1.59194317322564,0.0767587119855276,0.308485908398136,54,3095,"T2D","Fluctuating Increasing",0.191896779963819
"FABP1","DoD",0.854228941133792,0.589015731956233,1.23885839423518,0.40615152492454,0.744611129028324,24,3095,"T2D","Fluctuating Increasing",0.676919208207567
"FABP1","AD",0.936800426679155,0.772444747764816,1.13612661872024,0.507141058667322,0.892568263254486,102,3094,"T2D","Fluctuating Increasing",0.633926323334152
"FABP1","ADD",0.950226475795117,0.765419604410822,1.17965407483525,0.643596533161324,0.908623567994835,75,3094,"T2D","Fluctuating Increasing",0.804495666451655
"FABP1","Dementia",1.01629066711153,0.890947649198648,1.15926757423625,0.809853967460096,0.942010153793433,197,3089,"T2D","Fluctuating Increasing",0.809853967460096
"FABP1","UD",1.00015953751574,0.848977521534572,1.17826335222111,0.998477754957962,0.998477754957962,128,3090,"T2D","Fluctuating Increasing",0.998477754957962
"FASLG","VaD",0.544888718,0.283378389,1.047728855,0.068729833,0.378014079,59,6928,"Pre-DM","Gradually decreasing",0.232113858
"FASLG","DoD",0.645720222,0.23913393,1.743602865,0.388130827,0.730417236,34,6928,"Pre-DM","Gradually decreasing",0.6440649968
"FASLG","AD",0.868878965,0.54371988,1.388491913,0.556762539,0.742350051,121,6927,"Pre-DM","Gradually decreasing",0.60025878
"FASLG","UD",1.220108288,0.776335174,1.917553507,0.388449982,0.786025826,140,6924,"Pre-DM","Gradually decreasing",0.443942836571429
"FASLG","ADD",0.914366986,0.531005469,1.57449788,0.746799885,0.866574968,91,6929,"Pre-DM","Gradually decreasing",0.746799885
"FASLG","Dementia",0.955475257,0.672216463,1.358093735,0.799592899,0.879552189,225,6921,"Pre-DM","Gradually decreasing",0.799592899
"FASLG","DoD",0.534267180125511,0.208669807993793,1.36790953374413,0.191265198569005,0.525979296064763,24,3095,"T2D","Gradually decreasing",0.621806251767936
"FASLG","VaD",0.892942083484342,0.447736000133126,1.78083862861213,0.747835385128329,0.802555047454792,54,3095,"T2D","Gradually decreasing",0.747835385128329
"FASLG","Dementia",0.892383758266313,0.628879289639161,1.26629829466071,0.523683802077435,0.812971278631447,197,3089,"T2D","Gradually decreasing",0.776531969611126
"FASLG","ADD",0.967640988871526,0.560567425388376,1.67032374864728,0.905989630687926,0.972281554884604,75,3094,"T2D","Gradually decreasing",0.905989630687926
"FASLG","UD",0.964257987879611,0.62475876819602,1.48824396634624,0.869439599291429,0.985345375381866,128,3090,"T2D","Gradually decreasing",0.961177694637881
"FASLG","AD",1.03146199102528,0.630874617332331,1.68641091224848,0.901713630198886,0.987333068134725,102,3094,"T2D","Gradually decreasing",0.958283446999825
"FGFBP1","AD",0.603877398,0.350996107,1.038951444,0.068464881,0.468486131,121,6927,"Pre-DM","Fluctuating Decreasing",0.159751389
"FGFBP1","ADD",0.516111465,0.277490297,0.95992922,0.036695749,0.616402458,91,6929,"Pre-DM","Fluctuating Decreasing",0.107140028333333
"FGFBP1","Dementia",0.829436601,0.553928753,1.241973939,0.363929396,0.696212758,225,6921,"Pre-DM","Fluctuating Decreasing",0.5095011544
"FGFBP1","VaD",0.742276045,0.333169995,1.653731536,0.465881609,0.820570202,59,6928,"Pre-DM","Fluctuating Decreasing",0.6946740052
"FGFBP1","UD",1.052760435,0.630980903,1.756478727,0.843935269,0.952132099,140,6924,"Pre-DM","Fluctuating Decreasing",0.843935269
"FGFBP1","DoD",0.984406611,0.350682827,2.763341405,0.976191788,0.977863229,34,6928,"Pre-DM","Fluctuating Decreasing",0.976191788
"FGFBP1","DoD",2.48048448769425,1.20053431620677,5.12505407853088,0.0141439159443404,0.317457103311011,24,3095,"T2D","Fluctuating Decreasing",0.0990074116103828
"FGFBP1","VaD",1.80455894204372,0.829552906288954,3.92552777601342,0.136565098377565,0.331971462754235,54,3095,"T2D","Fluctuating Decreasing",0.165737155792884
"FGFBP1","Dementia",1.31981312190679,0.893741891958808,1.94900417271437,0.162969374134561,0.421803085995335,197,3089,"T2D","Fluctuating Decreasing",0.228157123788385
"FGFBP1","ADD",1.47162262672163,0.80347654897171,2.69537817656372,0.210819109672033,0.646456555543969,75,3094,"T2D","Fluctuating Decreasing",0.49191125590141
"FGFBP1","AD",1.14629577069721,0.649474222149188,2.02316573792591,0.637619608394298,0.957188497459678,102,3094,"T2D","Fluctuating Decreasing",0.761399941161108
"FGFBP1","UD",1.06947115819948,0.652872448665483,1.75190201479398,0.789679798896063,0.985345375381866,128,3090,"T2D","Fluctuating Decreasing",0.789679798896063
"GDF15","VaD",1.835866721,1.049688221,3.210864472,0.033172976,0.291922192,59,6928,"Pre-DM","Gradually Increasing",0.0884612693333333
"GDF15","Dementia",1.299765469,0.956604144,1.766028596,0.093678148,0.410296332,225,6921,"Pre-DM","Gradually Increasing",0.216164968
"GDF15","AD",1.47811879,0.994231195,2.197512177,0.0534374,0.468486131,121,6927,"Pre-DM","Gradually Increasing",0.264817386
"GDF15","UD",1.154623658,0.773118106,1.724388267,0.48233403,0.786025826,140,6924,"Pre-DM","Gradually Increasing",0.657983728
"GDF15","ADD",1.041949137,0.644373984,1.68482594,0.86690179,0.930333628,91,6929,"Pre-DM","Gradually Increasing",0.970384381
"GDF15","DoD",1.096729805,0.471506248,2.551008115,0.830251715,0.957669376,34,6928,"Pre-DM","Gradually Increasing",0.903119452
"GDF15","Dementia",1.39264723108871,1.15444559380792,1.67999801866951,0.000539059837500478,0.0118593164250105,197,3089,"T2D","Gradually Increasing",0.00431247870000382
"GDF15","VaD",1.63462793964365,1.17825557674709,2.26776647935797,0.00326088394673022,0.0478262978853766,54,3095,"T2D","Gradually Increasing",0.0130435357869209
"GDF15","UD",1.3099014056182,1.03805170623855,1.65294433998668,0.0229274289152749,0.298851600748472,128,3090,"T2D","Gradually Increasing",0.0917097156610996
"GDF15","DoD",1.37156994459586,0.824918634413549,2.28047232107452,0.223224796681852,0.569989064120609,24,3095,"T2D","Gradually Increasing",0.49340671492707
"GDF15","ADD",1.10879323427603,0.810183309031557,1.51746206404311,0.518864870234842,0.906658961185409,75,3094,"T2D","Gradually Increasing",0.98306384562419
